City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,524,Plettenberg Bay,ZA,75.42,clear sky,-34.05,23.37,Thanda Vista B&B
262,534,Guilin,CN,77.0,scattered clouds,25.28,110.29,Grand 0773 Hotel
263,537,Aracati,BR,75.99,overcast clouds,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
267,543,Japura,ID,76.55,light rain,-0.32,102.35,KOST dan HOMESTAY RUMAH KITA JOSH
269,547,Piney Green,US,77.0,overcast clouds,34.72,-77.32,Holiday City Mobile Home Park
272,550,Mersing,MY,78.8,light rain,2.43,103.84,Timotel Hotel
273,551,Wuan,CN,78.55,clear sky,31.68,112.0,Xinyuan Hotel
275,556,Nampula,MZ,77.0,broken clouds,-15.12,39.27,Tacab Residencial
276,557,Westport,US,75.99,clear sky,41.14,-73.36,The Westport Inn
278,562,Auki,SB,78.22,overcast clouds,-8.77,160.7,Auki Motel
280,564,Ulaangom,MN,70.14,overcast clouds,49.98,92.07,Achit Nuur Hotel & Restaurant
281,566,Asau,RO,79.0,scattered clouds,46.43,26.4,Casa Mika Ciobanus
282,567,Huicungo,PE,78.3,scattered clouds,-7.28,-76.8,Gran Pajaten Trek
283,568,Kalabo,ZM,79.38,clear sky,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
287,578,Tanggu,CN,75.2,broken clouds,39.02,117.65,Ibis Tianjin Tanggu Hotel
288,580,Escuinapa,MX,78.8,scattered clouds,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
290,582,La Rioja,ES,78.8,overcast clouds,42.25,-2.5,Casa Concejos
292,586,Teahupoo,PF,77.0,light rain,-17.83,-149.27,Vanira Lodge
293,587,Xiongzhou,CN,76.87,moderate rain,25.12,114.3,Xinhewan Business Hotel
294,588,Fuerte Olimpo,PY,75.9,light rain,-21.04,-57.87,Hotel Fuerte Olimpo
296,592,Risor,NO,75.2,broken clouds,58.72,9.23,Risør Hotel
297,593,Statesville,US,75.0,overcast clouds,35.78,-80.89,Courtyard by Marriott Statesville Mooresville/Lake Norman
300,599,Marawi,PH,75.99,light rain,8.0,124.29,Derogongan Residence
302,604,Benguela,AO,78.8,few clouds,-12.58,13.41,Hotel Praia Morena
303,605,Bintulu,MY,78.8,light rain,3.17,113.03,900 Boutique INN
304,607,Scarborough,GB,73.99,clear sky,54.28,-0.4,Ambassador
305,609,Tiarei,PF,77.0,mist,-17.53,-149.33,Le Rocher de Tahiti
306,610,Santa Teresa,VE,77.0,scattered clouds,10.23,-66.66,"Hotel Phinotuy, C.A."
308,615,Ampanihy,MG,77.25,clear sky,-24.7,44.75,Angora Hotel
311,619,Tabou,CI,79.3,broken clouds,4.42,-7.35,hotêl doufoulougou
313,622,Bar Harbor,US,75.99,clear sky,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
316,632,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
318,637,Jefferson City,US,70.0,broken clouds,38.58,-92.17,DoubleTree by Hilton Hotel Jefferson City
319,638,Soto La Marina,MX,75.0,overcast clouds,23.77,-98.22,Hotel Chicago
323,645,Senanga,ZM,79.86,clear sky,-16.12,23.27,Christopher Nasilele House
325,648,Mananjary,MG,70.83,light rain,-21.22,48.33,Vahiny Lodge
326,650,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
329,659,Kanbe,MM,78.8,thunderstorm with light rain,16.71,96.0,CBT Mingalar Bar Bio Garden
330,660,Atambua,ID,70.93,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
332,665,Ewa Beach,US,75.2,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
334,669,Lakatoro,VU,77.63,light rain,-16.1,167.42,Lakatoro Palm Lodge
339,675,Komsomolsk,UA,76.42,clear sky,49.01,33.65,Olʹviya
340,678,Villagarzon,CO,74.14,overcast clouds,1.04,-76.63,Hotel Samari
343,685,Kupang,ID,77.31,scattered clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
346,692,Klyuchi,RU,76.15,broken clouds,52.27,79.17,Vesolaya Mayovka
347,695,Kostomuksha,RU,79.27,overcast clouds,64.57,30.58,Apartments on Lenina 17
349,704,Wuwei,CN,75.0,overcast clouds,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
350,705,Chake Chake,TZ,78.87,few clouds,-5.25,39.77,Hotel Archipelago
351,706,Januaria,BR,79.92,clear sky,-15.48,-44.37,Hotel Paraguassu
